id,requirement,priority,release_train,design_refs,goal_refs,acceptance_test,test_suite,status
FR-SES-001,"Portable Agent displays a cryptographically random, short-lived support code.",P0,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-09-attended-packaging.md,AT-FR-SES-001,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SES-002,The code identifies a pending session but is not itself the sole authentication secret.,P0,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md,AT-FR-SES-002,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SES-003,Operator must be authenticated for commercial SaaS sessions.,P0,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md,AT-FR-SES-003,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SES-004,"Host displays operator identity, organization and requested permissions before approval.",P0,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md,AT-FR-SES-004,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SES-005,"Host can approve view-only, input-control, clipboard and file scopes independently.",P0,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md,AT-FR-SES-005,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SES-006,Session request expires automatically and cannot be replayed.,P0,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md,AT-FR-SES-006,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SES-007,Both peers show connection state and relay/direct route classification.,P1,ATTENDED_GA,01-architecture/runtime-sequences.md;02-protocol/api-flow-contract.md;02-protocol/openapi/openapi.yaml;02-protocol/session-state-machine.md,07-delivery/goals/goal-06-control-plane-consent.md;07-delivery/goals/goal-04-lan-transport.md,AT-FR-SES-007,Session/API integration,READY_FOR_IMPLEMENTATION
FR-SCR-001,Capture the selected monitor at native resolution and current orientation.,P0,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md,AT-FR-SCR-001,Capture/render compatibility,READY_FOR_IMPLEMENTATION
FR-SCR-002,"Detect monitor add/remove, resolution, rotation, HDR and DPI changes.",P0,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md,AT-FR-SCR-002,Capture/render compatibility,READY_FOR_IMPLEMENTATION
FR-SCR-003,Allow operator to choose monitor and fit/actual-size/stretch modes.,P0,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md,AT-FR-SCR-003,Capture/render compatibility,READY_FOR_IMPLEMENTATION
FR-SCR-004,"Preserve cursor shape, position and visibility.",P0,ATTENDED_GA,01-architecture/media-pipeline.md;03-client/capture-encoder-implementation.md;03-client/webrtc-integration.md,07-delivery/goals/goal-02-capture-render.md;07-delivery/goals/goal-03-encoding.md,AT-FR-SCR-004,Capture/render compatibility,READY_FOR_IMPLEMENTATION
